time,size
0.0,0.0
1.0,1.344
2.0,0.0
3.0,0.928
4.0,0.576
5.0,0.928
6.0,0.0
7.0,1.536
8.0,0.0
9.0,0.96
10.0,0.0
11.0,1.824
12.0,0.0
13.0,0.96
14.0,0.0
15.0,0.96
16.0,37.632
17.0,92.352
18.0,91.84
19.0,92.8
20.0,91.84
21.0,92.736
22.0,91.84
23.0,92.8
24.0,91.84
25.0,92.736
26.0,65.152
27.0,0.896
28.0,0.0
29.0,0.896
30.0,0.0
31.0,1.76
32.0,0.0
33.0,0.896
34.0,0.0
35.0,0.896
36.0,0.864
37.0,0.896
38.0,0.0
39.0,0.896
40.0,0.0
41.0,1.28
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.896
46.0,0.384
47.0,0.448
48.0,0.0
49.0,0.896
50.0,0.0
51.0,0.896
52.0,0.0
53.0,0.896
54.0,0.0
55.0,0.896
56.0,0.0
57.0,0.896
58.0,0.0
59.0,0.896
60.0,0.0
61.0,0.896
62.0,0.0
63.0,0.896
64.0,0.0
65.0,0.896
66.0,0.0
67.0,0.896
68.0,0.0
69.0,0.896
70.0,0.0
71.0,0.896
72.0,0.0
73.0,0.896
74.0,0.0
75.0,0.896
76.0,0.0
77.0,0.896
78.0,0.0
79.0,0.896
80.0,0.0
81.0,0.896
82.0,0.0
83.0,0.896
84.0,0.0
85.0,0.896
86.0,0.0
87.0,0.896
88.0,0.0
89.0,0.896
90.0,0.0
91.0,0.896
92.0,0.0
93.0,0.896
94.0,0.0
95.0,0.896
96.0,0.0
97.0,0.896
98.0,0.0
99.0,0.896
100.0,0.0
101.0,0.896
102.0,0.0
103.0,0.896
104.0,0.0
105.0,0.896
106.0,0.0
107.0,0.896
108.0,0.0
109.0,0.896
110.0,0.0
111.0,0.896
112.0,0.0
113.0,0.896
114.0,0.0
115.0,0.96
116.0,0.0
117.0,0.96
118.0,0.0
119.0,0.96
120.0,0.0
121.0,35.52
122.0,84.16
123.0,85.12
124.0,84.16
125.0,85.12
126.0,85.056
127.0,85.12
128.0,84.16
129.0,85.12
130.0,84.16
131.0,86.016
132.0,84.16
133.0,85.12
134.0,84.16
135.0,85.12
136.0,85.056
137.0,84.672
138.0,84.16
139.0,84.672
140.0,84.16
141.0,86.784
142.0,84.16
143.0,84.672
144.0,84.16
145.0,85.12
146.0,85.056
147.0,85.12
148.0,84.16
149.0,85.12
150.0,84.16
151.0,85.568
152.0,84.16
153.0,85.12
154.0,84.16
155.0,84.672
156.0,85.824
157.0,85.12
158.0,84.16
159.0,85.12
160.0,84.16
161.0,86.016
162.0,84.16
163.0,85.888
164.0,84.16
165.0,85.12
166.0,85.056
167.0,85.12
168.0,84.16
169.0,85.12
170.0,84.16
171.0,86.016
172.0,84.16
173.0,84.672
174.0,84.16
175.0,84.672
176.0,85.056
177.0,85.12
178.0,84.16
179.0,85.12
180.0,84.16
