time,size
0.0,0.0
1.0,1.344
2.0,0.0
3.0,0.96
4.0,0.576
5.0,0.96
6.0,0.0
7.0,1.536
8.0,0.0
9.0,0.96
10.0,0.0
11.0,45.472
12.0,88.0
13.0,86.656
14.0,85.696
15.0,87.424
16.0,87.68
17.0,89.728
18.0,87.232
19.0,88.96
20.0,88.768
21.0,89.408
22.0,88.0
23.0,89.728
24.0,89.536
25.0,91.264
26.0,90.432
27.0,89.728
28.0,90.304
29.0,90.048
30.0,91.84
31.0,91.968
32.0,91.072
33.0,90.496
34.0,90.304
35.0,92.032
36.0,92.288
37.0,92.032
38.0,91.072
39.0,92.8
40.0,90.304
41.0,92.032
42.0,91.84
43.0,91.584
44.0,91.84
45.0,92.032
46.0,92.736
47.0,92.352
48.0,91.84
49.0,92.352
50.0,91.84
51.0,20.192
52.0,0.0
53.0,74.432
54.0,91.84
55.0,92.736
56.0,55.968
57.0,0.896
58.0,0.0
59.0,0.96
60.0,0.0
61.0,1.856
62.0,91.84
63.0,92.8
64.0,91.84
65.0,92.352
66.0,92.736
67.0,92.736
68.0,91.84
69.0,92.736
70.0,91.84
71.0,38.56
72.0,0.0
73.0,0.96
74.0,0.0
75.0,0.96
76.0,0.864
77.0,0.96
78.0,0.0
79.0,0.96
80.0,0.0
81.0,1.344
82.0,0.0
83.0,0.96
84.0,0.0
85.0,0.96
86.0,46.816
87.0,92.032
88.0,90.304
89.0,89.28
90.0,90.304
91.0,91.392
92.0,89.536
93.0,91.584
94.0,91.072
95.0,91.264
96.0,90.432
97.0,92.032
98.0,89.536
99.0,88.96
100.0,89.536
101.0,90.624
102.0,87.232
103.0,92.736
104.0,91.84
105.0,92.736
106.0,46.784
107.0,0.896
108.0,0.0
109.0,0.96
110.0,0.0
111.0,28.64
112.0,86.464
113.0,86.208
114.0,87.232
115.0,85.888
116.0,85.824
117.0,86.976
118.0,86.464
119.0,86.656
120.0,84.928
121.0,86.784
122.0,84.928
123.0,85.888
124.0,84.16
125.0,85.888
126.0,85.056
127.0,86.656
128.0,85.696
129.0,85.12
130.0,85.696
131.0,88.32
132.0,87.232
133.0,85.12
134.0,84.16
135.0,85.888
136.0,87.36
137.0,86.208
138.0,84.928
139.0,85.888
140.0,84.16
141.0,86.784
142.0,84.16
143.0,85.888
144.0,85.696
145.0,84.672
146.0,85.056
147.0,85.888
148.0,84.16
149.0,85.888
150.0,85.696
151.0,86.336
152.0,84.928
153.0,85.12
154.0,86.464
155.0,85.44
156.0,85.824
157.0,86.208
158.0,84.928
159.0,86.656
160.0,84.928
161.0,86.336
162.0,84.928
163.0,85.888
164.0,84.16
165.0,85.44
166.0,85.824
167.0,85.888
168.0,84.928
169.0,85.888
170.0,84.928
171.0,86.784
172.0,84.928
173.0,86.656
174.0,84.928
175.0,85.888
176.0,85.824
177.0,86.208
178.0,85.696
179.0,85.888
180.0,84.928
