time,size
0.0,0.0
1.0,1.344
2.0,0.0
3.0,0.96
4.0,0.576
5.0,0.96
6.0,0.0
7.0,1.536
8.0,0.0
9.0,0.96
10.0,0.0
11.0,47.776
12.0,91.84
13.0,92.8
14.0,91.84
15.0,92.8
16.0,91.968
17.0,92.8
18.0,91.84
19.0,92.8
20.0,91.84
21.0,93.696
22.0,91.84
23.0,92.8
24.0,91.84
25.0,92.8
26.0,65.152
27.0,0.96
28.0,0.0
29.0,0.96
30.0,0.0
31.0,1.76
32.0,0.0
33.0,0.896
34.0,0.0
35.0,0.896
36.0,0.864
37.0,0.896
38.0,0.0
39.0,0.896
40.0,0.0
41.0,1.312
42.0,0.0
43.0,0.896
44.0,0.0
45.0,0.896
46.0,0.384
47.0,0.896
48.0,0.0
49.0,0.896
50.0,0.0
51.0,1.28
52.0,0.0
53.0,0.896
54.0,0.0
55.0,0.896
56.0,0.0
57.0,0.896
58.0,0.0
59.0,0.896
60.0,0.0
61.0,0.896
62.0,0.0
63.0,0.896
64.0,0.0
65.0,0.896
66.0,0.0
67.0,0.896
68.0,0.0
69.0,0.896
70.0,0.0
71.0,0.896
72.0,0.0
73.0,0.896
74.0,0.0
75.0,0.896
76.0,0.0
77.0,0.896
78.0,0.0
79.0,0.896
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.896
84.0,0.0
85.0,0.896
86.0,0.0
87.0,0.896
88.0,0.0
89.0,0.896
90.0,0.0
91.0,0.896
92.0,0.0
93.0,0.896
94.0,0.0
95.0,0.896
96.0,0.0
97.0,0.896
98.0,0.0
99.0,0.896
100.0,0.0
101.0,0.896
102.0,0.0
103.0,0.896
104.0,0.0
105.0,0.896
106.0,0.0
107.0,0.896
108.0,0.0
109.0,0.896
110.0,0.0
111.0,0.896
112.0,0.0
113.0,0.896
114.0,0.0
115.0,0.896
116.0,0.0
117.0,0.96
118.0,0.0
119.0,0.96
120.0,0.0
121.0,0.96
122.0,0.0
123.0,0.96
124.0,0.0
125.0,0.96
126.0,0.0
127.0,0.896
128.0,0.0
129.0,0.896
130.0,0.0
131.0,0.96
132.0,0.0
133.0,0.96
134.0,0.0
135.0,0.96
136.0,0.864
137.0,0.96
138.0,0.0
139.0,0.896
140.0,0.0
141.0,1.76
142.0,0.0
143.0,0.96
144.0,0.0
145.0,0.96
146.0,27.68
147.0,88.512
148.0,88.768
149.0,87.744
150.0,88.768
151.0,18.24
152.0,0.0
153.0,69.824
154.0,85.696
155.0,84.672
156.0,85.824
157.0,84.672
158.0,85.696
159.0,85.12
160.0,84.928
161.0,85.568
162.0,84.16
163.0,85.12
164.0,84.16
165.0,84.672
166.0,85.056
167.0,85.12
168.0,84.16
169.0,85.12
170.0,84.16
171.0,86.016
172.0,84.16
173.0,85.12
174.0,84.16
175.0,85.12
176.0,85.056
177.0,84.672
178.0,84.16
179.0,85.12
180.0,84.16
181.0,1.856
183.0,0.96
185.0,0.96
186.0,0.896
187.0,0.96
189.0,0.96
191.0,1.856
193.0,0.96
195.0,0.96
196.0,0.896
197.0,0.96
199.0,0.96
201.0,1.856
203.0,0.96
205.0,0.96
206.0,0.896
207.0,0.96
209.0,0.96
211.0,1.856
213.0,0.96
216.0,0.896
217.0,0.96
219.0,0.96
221.0,1.856
223.0,0.96
225.0,0.96
226.0,0.896
227.0,0.96
229.0,0.512
231.0,1.856
235.0,0.96
236.0,0.896
237.0,0.96
239.0,0.96
