time,size
0.0,0.0
1.0,0.672
2.0,0.0
3.0,0.48
4.0,0.288
5.0,0.48
6.0,0.0
7.0,0.768
8.0,0.0
9.0,0.512
10.0,0.0
11.0,1.408
12.0,0.0
13.0,0.512
14.0,0.0
15.0,0.512
16.0,0.896
17.0,1.28
18.0,0.0
19.0,0.512
20.0,0.768
21.0,2.176
22.0,0.0
23.0,0.512
24.0,1.536
25.0,0.512
26.0,1.664
27.0,0.512
28.0,0.0
29.0,1.28
30.0,0.0
31.0,2.176
32.0,0.0
33.0,1.28
34.0,1.536
35.0,1.28
36.0,2.432
37.0,1.28
38.0,1.536
39.0,1.28
40.0,1.536
41.0,6.016
42.0,2.304
43.0,0.512
44.0,1.536
45.0,1.28
46.0,1.664
47.0,2.048
48.0,0.768
49.0,4.352
50.0,5.376
51.0,4.48
52.0,3.84
53.0,2.816
54.0,4.608
55.0,2.816
56.0,3.968
57.0,3.584
58.0,1.536
59.0,2.816
60.0,3.072
61.0,6.016
62.0,3.072
63.0,4.352
64.0,2.304
65.0,4.352
66.0,3.968
67.0,2.816
68.0,3.84
69.0,7.424
70.0,7.68
71.0,3.712
72.0,1.536
73.0,2.048
74.0,1.536
75.0,2.816
76.0,5.504
77.0,2.048
78.0,0.768
79.0,3.584
80.0,2.304
81.0,2.944
82.0,2.304
83.0,3.584
84.0,1.536
85.0,3.584
86.0,3.2
87.0,0.512
88.0,0.768
89.0,0.512
90.0,0.768
91.0,2.176
92.0,1.536
93.0,1.28
94.0,0.0
95.0,0.512
96.0,0.448
97.0,1.28
98.0,1.536
99.0,1.28
100.0,0.768
101.0,2.176
102.0,0.0
103.0,0.512
104.0,0.0
105.0,0.768
106.0,1.664
107.0,0.512
108.0,0.0
109.0,1.28
110.0,0.768
111.0,1.408
112.0,0.768
113.0,0.512
114.0,0.0
115.0,0.512
116.0,0.896
117.0,0.512
118.0,0.0
119.0,0.512
120.0,0.0
121.0,2.176
122.0,0.0
123.0,0.512
124.0,0.0
125.0,0.512
126.0,0.896
127.0,0.512
128.0,0.0
129.0,0.512
130.0,0.0
131.0,1.408
132.0,0.0
133.0,0.512
134.0,0.0
135.0,0.512
136.0,0.448
137.0,0.512
138.0,0.0
139.0,0.512
140.0,0.0
141.0,1.408
142.0,0.0
143.0,0.512
144.0,0.0
145.0,0.512
146.0,0.896
147.0,1.28
148.0,0.0
149.0,0.512
150.0,0.0
151.0,1.408
152.0,0.0
153.0,0.512
154.0,0.0
155.0,0.512
156.0,0.896
157.0,0.512
158.0,0.0
159.0,1.28
160.0,0.0
161.0,2.176
162.0,0.0
163.0,0.512
164.0,0.0
165.0,0.512
166.0,0.896
167.0,0.512
168.0,0.0
169.0,0.512
170.0,0.0
171.0,1.408
172.0,0.768
173.0,0.512
174.0,0.0
175.0,0.512
176.0,0.896
177.0,0.512
178.0,0.0
179.0,0.512
180.0,0.0
