10,0.064878067,4,N4S0,190.0.1.4,255.255.255.255,48,NetworkSendToLower,0,0,20,Data,IPPROTO_UDP,192,,0.0
64,0.709249407,4,N4S1,190.0.1.4,255.255.255.255,36,NetworkSendToLower,0,1,20,Control,IPPROTO_ICMP,192,,0.0
130,2.046175089,4,N4S2,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,2,20,Data,IPPROTO_UDP,192,,0.0
224,3.709249407,4,N4S3,190.0.1.4,255.255.255.255,36,NetworkSendToLower,0,3,20,Control,IPPROTO_ICMP,192,,0.0
262,4.123379051,4,N4S4,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,4,20,Data,IPPROTO_UDP,192,,0.0
360,6.082870468,4,N4S5,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,5,20,Data,IPPROTO_UDP,192,,0.0
406,6.709249407,4,N4S6,190.0.1.4,255.255.255.255,36,NetworkSendToLower,0,6,20,Control,IPPROTO_ICMP,192,,0.0
472,8.051055656,4,N4S7,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,7,20,Data,IPPROTO_UDP,192,,0.0
572,10.047314213,4,N4S8,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,8,20,Data,IPPROTO_UDP,192,,0.0
808,12.127437715,4,N4S41,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,41,20,Data,IPPROTO_UDP,192,,0.0
1018,14.098483592,4,N4S86,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,86,20,Data,IPPROTO_UDP,192,,0.0
1268,16.108902861,4,N4S128,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,128,20,Data,IPPROTO_UDP,192,,0.0
1472,18.082015529,4,N4S169,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,169,20,Data,IPPROTO_UDP,192,,0.0
1706,20.113761742,4,N4S210,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,210,20,Data,IPPROTO_UDP,192,,0.0
1946,22.119371234,4,N4S254,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,254,20,Data,IPPROTO_UDP,192,,0.0
2161,24.110543926,4,N4S296,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,296,20,Data,IPPROTO_UDP,192,,0.0
2394,26.090323952,4,N4S337,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,337,20,Data,IPPROTO_UDP,192,,0.0
2623,28.107727463,4,N4S380,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,380,20,Data,IPPROTO_UDP,192,,0.0
2832,30.054347621,4,N4S421,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,421,20,Data,IPPROTO_UDP,192,,0.0
3074,32.087074255,4,N4S462,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,462,20,Data,IPPROTO_UDP,192,,0.0
3290,34.058079149,4,N4S503,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,503,20,Data,IPPROTO_UDP,192,,0.0
3544,36.126668378,4,N4S545,190.0.1.4,255.255.255.255,56,NetworkSendToLower,0,545,20,Data,IPPROTO_UDP,192,,0.0
